file,cuttlefish,background,year,month,day,hour,minute,second,screen,view distance,replicate,folder
6_Uniform_2012_12_5_13_41_29_Static_410_18.png,6,Uniform,2012,12,5,13,41,29,Static,410,18,/home/yg32/Documents/PostDoc/Holodeck/Code/2processedata/6_Uniform_2012_12_5_13_27
6_Uniform_2012_12_5_14_7_12_Checkerboard_7_410_17.png,6,Uniform,2012,12,5,14,7,12,Checkerboard7,410,17,/home/yg32/Documents/PostDoc/Holodeck/Code/2processedata/6_Uniform_2012_12_5_13_27
6_Uniform_2012_12_5_13_50_32_Uniform_11.png,6,Uniform,2012,12,5,13,50,32,Uniform,nan,11,/home/yg32/Documents/PostDoc/Holodeck/Code/2processedata/6_Uniform_2012_12_5_13_27
6_Uniform_2012_12_5_15_7_37_Checkerboard_2_410_24.png,6,Uniform,2012,12,5,15,7,37,Checkerboard2,410,24,/home/yg32/Documents/PostDoc/Holodeck/Code/2processedata/6_Uniform_2012_12_5_13_27
6_Uniform_2012_12_5_13_54_2_Static_10_2.png,6,Uniform,2012,12,5,13,54,2,Static,10,2,/home/yg32/Documents/PostDoc/Holodeck/Code/2processedata/6_Uniform_2012_12_5_13_27
6_Uniform_2012_12_5_14_13_31_Checkerboard_7_610_23.png,6,Uniform,2012,12,5,14,13,31,Checkerboard7,610,23,/home/yg32/Documents/PostDoc/Holodeck/Code/2processedata/6_Uniform_2012_12_5_13_27
6_Uniform_2012_12_5_14_0_31_Static_610_9.png,6,Uniform,2012,12,5,14,0,31,Static,610,9,/home/yg32/Documents/PostDoc/Holodeck/Code/2processedata/6_Uniform_2012_12_5_13_27
6_Uniform_2012_12_5_14_4_37_Checkerboard_7_410_3.png,6,Uniform,2012,12,5,14,4,37,Checkerboard7,410,3,/home/yg32/Documents/PostDoc/Holodeck/Code/2processedata/6_Uniform_2012_12_5_13_27
6_Uniform_2012_12_5_14_10_44_Checkerboard_7_610_8.png,6,Uniform,2012,12,5,14,10,44,Checkerboard7,610,8,/home/yg32/Documents/PostDoc/Holodeck/Code/2processedata/6_Uniform_2012_12_5_13_27
6_Uniform_2012_12_5_14_56_17_Checkerboard_2_10_20.png,6,Uniform,2012,12,5,14,56,17,Checkerboard2,10,20,/home/yg32/Documents/PostDoc/Holodeck/Code/2processedata/6_Uniform_2012_12_5_13_27
6_Uniform_2012_12_5_14_49_47_Checkerboard_4_210_18.png,6,Uniform,2012,12,5,14,49,47,Checkerboard4,210,18,/home/yg32/Documents/PostDoc/Holodeck/Code/2processedata/6_Uniform_2012_12_5_13_27
6_Uniform_2012_12_5_14_1_4_Static_610_12.png,6,Uniform,2012,12,5,14,1,4,Static,610,12,/home/yg32/Documents/PostDoc/Holodeck/Code/2processedata/6_Uniform_2012_12_5_13_27
6_Uniform_2012_12_5_13_49_59_Uniform_8.png,6,Uniform,2012,12,5,13,49,59,Uniform,nan,8,/home/yg32/Documents/PostDoc/Holodeck/Code/2processedata/6_Uniform_2012_12_5_13_27
6_Uniform_2012_12_5_14_7_35_Checkerboard_7_410_19.png,6,Uniform,2012,12,5,14,7,35,Checkerboard7,410,19,/home/yg32/Documents/PostDoc/Holodeck/Code/2processedata/6_Uniform_2012_12_5_13_27
6_Uniform_2012_12_5_14_15_44_Checkerboard_2_610_7.png,6,Uniform,2012,12,5,14,15,44,Checkerboard2,610,7,/home/yg32/Documents/PostDoc/Holodeck/Code/2processedata/6_Uniform_2012_12_5_13_27
6_Uniform_2012_12_5_14_15_55_Checkerboard_2_610_8.png,6,Uniform,2012,12,5,14,15,55,Checkerboard2,610,8,/home/yg32/Documents/PostDoc/Holodeck/Code/2processedata/6_Uniform_2012_12_5_13_27
6_Uniform_2012_12_5_14_31_49_Checkerboard_7_210_9.png,6,Uniform,2012,12,5,14,31,49,Checkerboard7,210,9,/home/yg32/Documents/PostDoc/Holodeck/Code/2processedata/6_Uniform_2012_12_5_13_27
6_Uniform_2012_12_5_14_25_33_Static_210_4.png,6,Uniform,2012,12,5,14,25,33,Static,210,4,/home/yg32/Documents/PostDoc/Holodeck/Code/2processedata/6_Uniform_2012_12_5_13_27
6_Uniform_2012_12_5_15_3_23_Checkerboard_2_410_2.png,6,Uniform,2012,12,5,15,3,23,Checkerboard2,410,2,/home/yg32/Documents/PostDoc/Holodeck/Code/2processedata/6_Uniform_2012_12_5_13_27
6_Uniform_2012_12_5_14_52_16_Checkerboard_2_10_3.png,6,Uniform,2012,12,5,14,52,16,Checkerboard2,10,3,/home/yg32/Documents/PostDoc/Holodeck/Code/2processedata/6_Uniform_2012_12_5_13_27
6_Uniform_2012_12_5_13_49_26_Uniform_5.png,6,Uniform,2012,12,5,13,49,26,Uniform,nan,5,/home/yg32/Documents/PostDoc/Holodeck/Code/2processedata/6_Uniform_2012_12_5_13_27
6_Uniform_2012_12_5_13_59_35_Static_610_4.png,6,Uniform,2012,12,5,13,59,35,Static,610,4,/home/yg32/Documents/PostDoc/Holodeck/Code/2processedata/6_Uniform_2012_12_5_13_27
6_Uniform_2012_12_5_13_43_42_Checkerboard_4_10_2.png,6,Uniform,2012,12,5,13,43,42,Checkerboard4,10,2,/home/yg32/Documents/PostDoc/Holodeck/Code/2processedata/6_Uniform_2012_12_5_13_27
